provider_name,phone,address,latitude,longitude,monitoring_reports
Mi Pequeño Mundo I,787-934-6098 / 787-871-5324,"Extensión Muñoz Rivera # 57 Florida, PR 00650",17.9648876,-66.4026563,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Mi-Pequeno-Mundo-I.pdf'}, {'year': '2022', 'url': '/../docproveedores/Resultado-Mi-Pequeño-Mundo-I-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Mi-pequeño-mundo-I-2023.pdf'}]"
New York Foundling John O' Connor,787-268-1753,"Calle Santa Elena 2372 Esq. Constitución San Juan, PR 00915",18.42467,-66.04294,"[{'year': '2022', 'url': '/../docproveedores/NY-Foundling-John-O-Connor.pdf'}, {'year': '2023', 'url': '/../docproveedores/John-O-Connor-NY-Foundling-2023.pdf'}]"
New York Foundling Santa Ana NY Foundling,787-621-9160 / 787-270-3533,"Carr Estatal #2 Bo. Espinosa Vega Alta, PR 00692",18.41523,-66.31878,"[{'year': '2022', 'url': '/../docproveedores/NY-Foundling-Santa-Ana.pdf'}, {'year': '2023', 'url': '/../docproveedores/Santa-Ana-NY-Foundling-2023.pdf'}]"
New York Foundling Paraiso Infantil NY Foundling,787-782-8507,"Urb Puerto Nuevo NE-348 Calle 13 San Juan, PR 00920",15.14273,120.98614,"[{'year': '2022', 'url': '/../docproveedores/NY-Foundling-Paraiso-Infantil.pdf'}, {'year': '2023', 'url': '/../docproveedores/Paraiso-Infantil-NY-Foundling-2023.pdf'}]"
New York Foundling Paseo Alegre,787-414-3976,"Calle Paseo Alegre 2da Sección Levittown Toa Baja, PR 00949",18.44995,-66.18156,"[{'year': '2023', 'url': '/../docproveedores/NY-Foundling-Paseo-Alegre.pdf'}]"
Semillitas De Amor 2,939-609-6153 / 787-464-2859,"#74 Calle Méndez Vigo Mayagüez, PR 00680",18.201607,-67.138021,"[{'year': '2022', 'url': '/../docproveedores/Semillitas-de-Amor-2-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Semillitas-de-Amor-2.pdf'}]"
CCD Los Bebes Del Milenio,787-385-1714 / 939-337-0184,"Urb La Rosaleda, 110 Calle Rosa De Te Toa Baja, PR 00949",18.44384,-66.25961,"[{'year': '2023', 'url': '/../docproveedores/Los-Bebes-del-Milenio.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024 Los Bebes del Milenio.pdf'}]"
Roble Mun De Carolina,787-752-0489,"BO Buenaventura Calle Azucena 183 Carolina, PR 00987",18.402122,-65.953376,"[{'year': '2021', 'url': '/../docproveedores/Resultado-El-Roble-Mun-de-Carolina.pdf'}, {'year': '2022', 'url': '/../docproveedores/Resultado-RobleMun-Carolina-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Roble-Mun-Carolina.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024 El Roble-Mun. Carolina.pdf'}]"
Piesitos Centro De Desarrollo,787-297-3309 / 939-417-6478,"Urb Lomas Verdes 4R-7 Calle Zinnia Bayamón, PR 00956",18.39856,-66.15572,"[{'year': '2023', 'url': '/../docproveedores/Piesitos.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-piesitos-centro-de-desarrollo.pdf'}]"
Rincon Christian Academy,787-362-0005,"Bo. Pueblo Carr 115 Km 11.4 Rincon, PR 00677",32.29603,-81.23539,"[{'year': '2021', 'url': '/../docproveedores/Resultado-Rincón-Christian-Academy-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Resultado-Rincón-Christian-Academy-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Rincon-Christian-Academy.pdf'}, {'year': '2024', 'url': '/../docproveedores/03-2024 Rincon Christian Academy.pdf'}]"
Techno Inventors Inc,787-233-5736 / 787-628-2766,"Calle Alhambra #55 San Juan, PR 00917",18.4235439,-66.0549423,"[{'year': '2023', 'url': '/../docproveedores/Techno-Inventors-Inc.pdf'}]"
El Pequeño Principe,939-777-9986,"Urb Jardines De Carolina Ave Rosendo Vela Acosta A-5 Carolina, PR 00987",18.377267,-65.973547,"[{'year': '2021', 'url': '/../docproveedores/El-Pequeno-Principe-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/El-Pequeno-Principe-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/El-Pequeno-Principe-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-EL PEQUEÑO PRINCIPE.pdf'}]"
CCD Divino Niño Day Care,787-635-7616,"116 Calle Ismael Rivera San Juan, PR 00911",14.6,121.0333,"[{'year': '2021', 'url': '/../docproveedores/Resultado-Divino-Niño-Day-Care-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Divino-Nino-Day-Care-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Divino-Nino-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-Divino Niño.pdf'}]"
Anyela Obando Caicedo,,"Guayanilla, PR 00656",18.0177118,-66.7899651,"[{'year': '2021', 'url': '/../docproveedores/Anyela-Obando-Caicedo-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Anyela-Obando-Caicedo-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Anyela-Obando-Caicedo-2023.pdf'}]"
Bright Beginnings,787-505-9007,"Urb. El Paraiso #5 Calle Ganges San Juan, PR 00926",14.6,121.0333,"[{'year': '2021', 'url': '/../docproveedores/Resultado-Bright-Beginnings-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Bright-Beginnings-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Bright-Beginnings-2023.pdf'}]"
Caritas Felices,787-649-8717 / 939-384-4142,"Urb Mariani 3008 Calle Roosevelt, Ponce, PR 00717",18.44389,-66.077695,"[{'year': '2021', 'url': '/../docproveedores/Caritas-Felices-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Caritas-Felices-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Caritas-Felices-2023.pdf'}]"
