FormId,ProviderName,ProviderId,City,ZIP,CCAP,Address,Availability,Rating,ProviderUpdateRequestId,CreatedDate,ReportedDateTime,SubmittedDateTime,FullSubmittedDateTime,PhoneNumber,Serves,Setting,Status,RoleID,URL
,Annie Burke,1157,Barrington,,No,,Contact Program,0,,,,,,,,Home,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=1157
,Apple Blossom Preschool- ELC,3834,Barrington,,No,,Contact Program,0,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=3834
,Barrington Early Childhood Center,961,Barrington,,No,,Contact Program,0,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=961
,Bayside YMCA @ Hampden Meadows,5163,Barrington,,No,,Contact Program,0,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=5163
,Bayside YMCA @ MAIN Y Site,303,Barrington,,Yes,,Contact Program,3,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=303
,"Kids Junction, Inc",902,Barrington,,Yes,,Contact Program,4,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=902
,Manouchky Satine,3606,Barrington,,Yes,,Contact Program,1,,,,,,,,Home,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=3606
,Montessori of Barrington,5053,Barrington,,No,,Contact Program,1,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=5053
,Mother's Morning Out,890,Barrington,,No,,Contact Program,0,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=890
,Oliver Day School Barrington,5145,Barrington,,No,,Contact Program,2,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=5145
,Primrose Hill School,1077,Barrington,,No,,Contact Program,5,,,,,,,,School,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=1077
,Red Brick School,934,Barrington,,No,,Contact Program,0,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=934
,Sharon Senechal,1003,Barrington,,No,,Contact Program,0,,,,,,,,Home,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=1003
,Adventure Kids Club,880,Bristol,,Yes,,Contact Program,1,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=880
,Bristol's Lil Angels Child Care LL,3824,Bristol,,Yes,,Contact Program,1,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=3824
,Lori Accardi,745,Bristol,,No,,Contact Program,0,,,,,,,,Home,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=745
,Paula Hanson,545,Bristol,,No,,Contact Program,1,,,,,,,,Home,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=545
,Ruth Maille,321,Bristol,,No,,Contact Program,1,,,,,,,,Home,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=321
,The Learning Journey PS & CC Corp.,4915,Bristol,,No,,Contact Program,1,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=4915
,Bright Beginnings,1058,Warren,,Yes,,Contact Program,1,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=1058
,Bristol Warren COZ - Colt Andrew,247,Warren,,Yes,,Contact Program,3,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=247
,Bristol Warren COZ - Guiteras,246,Warren,,Yes,,Contact Program,0,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=246
,Bristol Warren COZ - Hugh Cole,244,Warren,,Yes,,Contact Program,4,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=244
,Bristol Warren COZ - Rockwell,245,Warren,,Yes,,Contact Program,3,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=245
,Hugh Cole School,1124,Warren,,No,,Contact Program,5,,,,,,,,School,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=1124
,Raggedy Ann Nursery School,972,Warren,,No,,Contact Program,0,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=972
,Tami Stallings,4544,Warren,,Yes,,Contact Program,4,,,,,,,,Home,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=4544
,The Garden Playschool,900,Warren,,No,,Contact Program,0,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=900
,Treehouse Academy,5289,Warren,,No,,Contact Program,0,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=5289
,"All About Kids Too, Inc.",518,Coventry,,Yes,,Contact Program,3,,,,,,,,Center,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=518
,Brooke Bourget,5195,Coventry,,No,,Contact Program,0,,,,,,,,Home,Active,0,https://earlylearningprograms.dhs.ri.gov/Provider/ViewProviderInfo?ProviderId=5195
