FacilityId,FacilityName,FacilityType,LicenseNumber,LicenseStatus,AcceptsCCAP,PhoneNumber,Capacity,FirstName,LastName,Address,City,State,Zip,EffectiveDate,ExpirationDate,AgeRange
10000163,"3 TO 5 PRESCHOOL, INC.",LC,11865,BI,Yes,(907) 747-6898,25 Children,AUXERRE,ADORE,110 COLLEGE DRIVE ROOM 101,SITKA,AK,99835,20230601,20250531,36M - 80 M
10003537,A CHILD'S WORLD,LH,12088,BI,Yes,(907) 337-5920,8 Children,TINA,GEORGE,4244 EAST 8TH AVENUE,ANCHORAGE,AK,99508,20240601,20260531,0Y - 12 Y
10000330,ABC ANGELS,GL,12032,BI,Yes,(907) 335-1960,12 Children,SONIA,ROSE,1511 FATHOM DR.,KENAI,AK,99611,20240301,20260228,0W - 12 Y
10000327,ABC CENTER,LC,11739,BI,Yes,(907) 790-6500,30 Children,KUENI,MAAKE,8511 JENNIFER DRIVE,JUNEAU,AK,99801,20230101,20241231,15M - 5 Y
10016608,ABCDEE'S DAYCARE,LH,12156,BI,Yes,(907) 775-2185,5 Children,VIVIAN,LAMONT,"634 N HOYT ST,APT 4",ANCHORAGE,AK,99508,20240901,20260831,6W - 10 Y
10004578,ADRIANA'S CHILD CARE,LH,12061,BI,Yes,(907) 278-0245,8 Children,ADRIANA,DIAZ CID,1011 MEDFRA ST,ANCHORAGE,AK,99501,20240501,20260430,2M - 12 Y
10000557,AGUILAR DAY CARE,LH,11726,BI,Yes,(907) 486-0492,6 Children,ZOILA,AGUILAR,1614 SELIEF LANE,KODIAK,AK,99615,20230201,20240131,0W - 12 Y
10011236,AK KIDS,LC,12124,BI,Yes,(907) 394-5513,27 Children,ASHLEY,BARRETT,105 N. GILL STREET,KENAI,AK,99611,20240801,20260731,30M - 12 Y
10015771,AK KIDS BILINGUAL DAYCARE,GL,12100,BI,Yes,(907) 888-7573,12 Children,DIANA,MUENTES,2058 BRIDGEWATER DR,FAIRBANKS,AK,99709,20240501,20260430,2M - 12 Y
10011874,AKEELA'S CHILDREN'S PROGRAM GEM STONES,LH,11967,BI,Yes,(907) 569-0097,5 Children,JUDY,TUCKER,"611 W 47TH AVE,APT C3",ANCHORAGE,AK,99503,20231101,20251031,6W - 6 Y
10011873,AKEELA'S CHILDREN'S PROGRAM LITTLE STEPS,LH,11965,BI,Yes,(907) 569-0097,5 Children,JUDY,TUCKER,"611 W 47TH AVE,APT C4",ANCHORAGE,AK,99503,20231101,20251031,6W - 6 Y
10016716,"ALASKA CHILDREN'S ACADEMY II, LLC",LC,12134,BI,Yes,(907) 631-7061,40 Children,ASHLEY,BROWN,4931 E. MAYFLOWER LANE,WASILLA,AK,99654,20240801,20260731,6W - 12 Y
10015158,"ALASKA CHILDREN'S ACADEMY, LLC",GL,11768,BI,Yes,(907) 414-4343,12 Children,APRIL,BROWN,2731 E BEECH WAY,WASILLA,AK,99654,20230301,20250228,6W - 12 Y
10014982,ALASKAN SEEDLINGS CHILD DEVELOPMENT CNTR,LC,11737,BI,Yes,(907) 746-5338,70 Children,JENIFER,STEPHENS,268 E. FIREWEED AVE.,PALMER,AK,99645,20230101,20241231,6W - 12 Y
10017040,ALASKAN SEEDLINGS LEARNING CENTER II,LC,11798,BI,Yes,(907) 631-8715,22 Children,JENIFER,STEPHENS,607 W. DARON DRIVE,PALMER,AK,99645,20230501,20250430,19M - 12 Y
10000209,ALBA O S CHILD CARE,LH,12181,BE,Yes,(907) 486-2255,8 Children,ALBA,OLAZABAL,1018 THORSHEIM ST,KODIAK,AK,99615,20240901,20241231,0M - 12 Y
10015933,ALEXA'S CHILD CARE,LH,12056,BI,Yes,(907) 744-3174,8 Children,LUCY,LIRIANO,"8420 E 3RD AVE,UNIT A",ANCHORAGE,AK,99504,20240501,20260430,0M - 12 Y
10017025,ALMOST HOME CHILDCARE,LH,12192,BE,Yes,(907) 399-8254,8 Children,KELSEY,KITZMILLER,4634 SABRINA RD,HOMER,AK,99603,20240901,20250131,6W - 12 Y
10000361,ALPHABET KIDS,LC,11854,BI,Yes,(907) 220-0633,39 Children,KIMBERLY,STACY,5193 BORCH ST.,KETCHIKAN,AK,99901,20230601,20250531,0W - 12 Y
10017031,ALUTIINGCUT CHILD CARE CENTER,LC,11879,BI,Yes,(907) 206-6464,60 Children,APRIL,MCBRIDE,2932 MILL BAY ROAD,KODIAK,AK,99615,20230701,20250630,2Y - 5 Y
10003648,AMAZING GRACE LUTHERAN PRESCHOOL,LC,11667,BI,No,(907) 522-3252,50 Children,SHARON,WEBSTER,10955 ELMORE RD,ANCHORAGE,AK,99516,20221201,20241130,3Y - 5 Y
10016638,AMBER BILINGUAL CHILD CARE,LH,12120,BI,Yes,(907) 885-7524,8 Children,YVELISSE,CELDA DE ANDUJAR,641 N. KLEVIN ST.,ANCHORAGE,AK,99508,20240701,20260630,0W - 8 Y
10003445,AMPARO DAY CARE,LH,12002,BI,Yes,(907) 261-6248,8 Children,LUZ,SANCHEZ,10329 THUJA CIR,ANCHORAGE,AK,99507,20240101,20251231,0M - 12 Y
10017075,ANCHOR LUTHERAN - ZION,LC,11856,BI,No,(907) 338-3838,20 Children,NANCY,KING,2100 BONIFACE PARKWAY,ANCHORAGE,AK,99504,20230701,20250630,3Y - 5 Y
10003566,ANCHOR LUTHERAN SCHOOL,LC,11840,BI,Yes,(907) 522-3636,155 Children,REBECCA,FINNEY,8100 ARCTIC BLVD,ANCHORAGE,AK,99518,20230601,20250531,3Y - 12 Y
10016480,ANCHORAGE COOPERATIVE PRESCHOOL,LC,12221,BI,Yes,(907) 279-0923,30 Children,JESSICA,MCCARTAN,3031 LATOUCHE ST,ANCHORAGE,AK,99508,20241001,20251130,3Y - 6 Y
10003630,ANCHORAGE GYMNASTICS ASSOCIATION,LC,12116,BI,Yes,(907) 563-3041,106 Children,MARTHA,MARLOW,"525 W POTTER DR,#4",ANCHORAGE,AK,99518,20240701,20260630,3Y - 12 Y
