Facility Number,Facility Name,Facility Type,Better Beginnings,Address,County,Director,Owner,Phone,Email Address,Website Address,Total Allowed Capacity,Voucher Participant,CACFP Facility,ABC Facility
50562,Crossett Pre-K,Child Care Center,Level 6,"1100 Camp Road, Crossett, AR, 71635",Ashley,Janet Ricks,Crossett School District,(870) 364-6521,janet.ricks@crossettschools.org,crossettschools.org,160,TRUE,FALSE,TRUE
48824,Taylor ABC,Child Care Center,Level 6,"303 E Pine St, Taylor, AR, 71861",Columbia,Jennifer Thomas,"Families and Children Together, Inc.",(870) 694-6018,shiree.daniels@fact-inc.com,www.fact-inc.com,20,FALSE,FALSE,TRUE
48058,Dwight- RSD Preschool,Child Care Center,Level 6,"1300 W. 2nd Place, Russellville, AR, 72801",Pope,Shelley England,Russellville School District,(479) 967-6025,krista.geurian@rsdk12.net,,46,TRUE,FALSE,TRUE
46119,Little Ladybug Daycare,Licensed Child Care Family Home,Level 6,"124 S Oak Street, Harrison, AR, 72601",Boone,Mandy Keymer,Mandy Keymer,(620) 228-2137,ladybug66748@yahoo.com,,12,TRUE,FALSE,FALSE
36287,Ms. Beth's House,Licensed Child Care Family Home,Level 6,"790 Primrose Ave, Siloam Springs, AR, 72761-5565",Benton,Beth Knight,Beth Knight,(918) 231-6527,bethknight@cox.net,,10,TRUE,TRUE,FALSE
35779,Good Morning Sunshine Preschool,Licensed Child Care Family Home,Level 6,"12754 AR-80, Danville, AR, 72833-6039",Yell,,Susan Wilkins,(479) 495-0785,paulnsuz@arkwest.com,,16,TRUE,FALSE,FALSE
35484,ABC Academy of Valley Springs,Licensed Child Care Family Home,Level 6,"7408 Rally Hill Road, Harrison, AR, 72601",Boone,,April Middleton,(870) 429-1313,abcacademyofvalleysprings@gmail.com,,16,TRUE,TRUE,FALSE
30821,In His Care Children’s Center,Licensed Child Care Family Home,Level 6,"18460 MARSHALL ST, GARFIELD, AR, 72732",Benton,,Michelle Mendoza,(479) 360-9453,kidsinthekingdom777@gmail.com,inhiscarechildrencenter.com,16,TRUE,TRUE,FALSE
30642,Mother's Touch Preschool,Licensed Child Care Family Home,Level 6,"811 E Main St, Booneville, AR, 72927",Logan,,Rita Neve,(479) 675-3229,rrneve8291@gmail.com,,12,TRUE,TRUE,TRUE
30628,Hot Springs Child Care Center III,Child Care Center,Level 6,"802 Emory St, Hot Springs, AR, 71913-5839",Garland,Katie Vega,Teri Grisham,(501) 781-3395,jlg4995@att.net,,95,TRUE,TRUE,FALSE
30504,Dawson Education Cooperative & Lake Hamilton School District ABC Program,Child Care Center,Level 6,"240 Wolf Street, Pearcy, AR, 71964",Garland,Tammy Boyette,Dawson Education Service Co-op,(501) 463-5432,shastap@dawsonesc.com,,100,TRUE,TRUE,TRUE
30498,Creative Kids Child Care,Licensed Child Care Family Home,Level 6,"121 Alabama Dr, Jacksonville, AR, 72076-1002",Pulaski,,Malissa Kaye,(501) 988-9609,stevenkaye2004@msn.com,,6,FALSE,FALSE,FALSE
29804,SAVE THE CHILDREN HEAD START PATTERSON,Child Care Center,Level 6,"113 N MAIN ST, PATTERSON, AR, 72123",Woodruff,Amy Salazar,"Save the Children Head Start Programs, Inc.",(870) 731-2005,jbays@savechildren.org,,24,FALSE,TRUE,FALSE
29745,Sequoyah - RSD Preschool,Child Care Center,Level 6,"1601 W 12th St, Russellville, AR, 72801",Pope,Debi (Deborah) Nordin,Russellville School District,(479) 967-6025,jenny.barber@rsdk12.net,,48,TRUE,TRUE,TRUE
29726,De Witt High Quality Preschool,Child Care Center,Level 6,"1718 S Grandview Dr, DeWitt, AR, 72042-3449",Arkansas,Carrie Ashcraft,Dewitt School District,(870) 946-4651,carrieashcraft@dewittdragons.net,,53,TRUE,TRUE,TRUE
29638,The Pre-K at Asbell,Child Care Center,Level 6,"1500 N Sang Ave, Fayetteville, AR, 72703-1231",Washington,Sarah Jewell,Fayetteville School District,(479) 718-0248,sarah.jewell@fayar.net,www.fayar.net,20,FALSE,TRUE,FALSE
29401,RIVERCREST PRE-K,Child Care Center,Level 6,"1704 WEST STATE HIGHWAY 14, WILSON, AR, 72395",Mississippi,Blaire Brown,South Mississippi County Schools,(870) 655-8621,leeann.graham@smccolts.com,,67,FALSE,TRUE,FALSE
29338,GREEN FOREST ABC PRESCHOOL,Child Care Center,Level 6,"601 SCHOOL DRIVE, GREEN FOREST, AR, 72638",Carroll,Amy Rochow,O.U.R. Cooperative,(870) 438-6130,clambe@oursc.k12.ar.us,,119,TRUE,TRUE,TRUE
