Certificate Number,Account Name,Type,Status,Certificate Effective Date,Certificate Expiration Date,Physical County,Physical Street,Physical City,Physical State/Province,Physical Zip/Postal Code,Phone,Capacity-Infants,Capacity-One-Year-Olds,School Aged,Capacity-Total Licensed,License Tier,Approved To,
CDC-17859,1st Academy Preschool & Childcare,Child Care Center,Active,4/1/2024,3/31/2025,MARICOPA,1133 South Dobson Road - Suite 101,Mesa,AZ,85202,4802929880,13,30,Licensed,168,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-18085,"1st Step To Greatness, L.L.C.",Child Care Center,Active,12/1/2023,11/30/2024,MARICOPA,6807 South Central Avenue,Phoenix,AZ,85042,6026016192,5,16,Licensed,103,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-14548,5th Place Community Childcare,Child Care Center,Active,10/1/2023,9/30/2024,MARICOPA,306 West 5th Place,Mesa,AZ,85201,4808337600,5,9,Licensed,56,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-13766,A.C.E.S.D.#53 - Shepards Cottage,Child Care Center,Active,2/29/2024,2/27/2025,COCHISE,6460 E Hwy 181,Pearce,AZ,85625,5208243340,0,0,,10,5-10 licensed capacity,Part Day Care; 3/4/5-year-old Care,
CDC-16302,A.E.S.D.#44 - Centerra Mirage School,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,15151 West Centerra Drive South,Goodyear,AZ,85338,6237724800,0,0,Licensed,209,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-16300,A.E.S.D.#44 - Copper Trails School,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,16875 West Canyon Trails Blvd,Goodyear,AZ,85338,6237724158,0,0,Licensed,305,60+ licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-16301,A.E.S.D.#44 - Desert Star School,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,2131 South 157th Avenue,Goodyear,AZ,85338,6237724620,0,0,Licensed,225,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-16303,A.E.S.D.#44 - Desert Thunder School,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,16750 West Garfield Street,Goodyear,AZ,85338,6237724700,0,0,Licensed,293,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-16304,A.E.S.D.#44 - Wildflower School,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,325 South Wildflower Drive,Goodyear,AZ,85338,4807294142,0,0,Licensed,185,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-15982,A.E.S.D.#63 - Aguila Elementary School,Child Care Center,Active,11/1/2023,10/31/2024,MARICOPA,50023 North 514th Avenue,Aguila,AZ,85320,9286852222,0,0,,20,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
