Type,License #,Name,Address,City,Zip,Phone,Email,Ages Served,Total Capacity,Capacity Under 3,Expiration Date,Legal Operator (LO),Address (LO),City (LO),Zip (LO)
Child Care Center,DCCC.11712,COUNTRY GARDEN DAY CARE AND PRESCHOOL,250 COUNTRY CLUB RD,WATERBURY,06708-3317,203-574-4981,Countrygardenumc@yahoo.com,12 months-12 years,112,16,6/30/26,UNITED METHODIST CHURCH WATERBURY INC,250 COUNTRY CLUB ROAD,WATERBURY,06708
Child Care Center,DCCC.12001,YOUNG HORIZONS DAY CARE,120 SAYBROOK RD RTE 9A,HIGGANUM,06441-4103,860-345-4347,younghorizonsdaycare@gmail.com,6 weeks-12 years,45,19,7/31/26,YOUNG HORIZONS DAYCARE LLC,120 SAYBROOK RD,HIGGANUM,06441-4103
Child Care Center,DCCC.12009,BRISTOL BOYS & GIRLS CLUB  ASSOCIATION,255 WEST ST,BRISTOL,06010-5735,860-583-4734,barbara@bbgc.org,5 years-14 years,275,0,7/31/26,BRISTOL BOYS & GIRLS CLUB ASSOCIATION,255 WEST ST,BRISTOL,06010-5735
Child Care Center,DCCC.12025,BRIGHTPATH - RIVERDALE FARMS BUILDING 7 & 8,144 SIMSBURY RD,AVON,06001-4254,860-409-7051,kdehm@brightpathkids.com,2 years-12 years,142,56,7/31/26,EDUCATIONAL PLAY CARE LTD,555 DAY HILL RD,WINDSOR,06095-1795
Child Care Center,DCCC.12034,KINDERCARE LEARNING CENTER #070211,194 HOUSE STREET,GLASTONBURY,06033,860-633-1508,leonilda.boyd@kindercare.com,6 weeks-12 years,78,40,9/30/26,KINDERCARE EDUCATION LLC,5005 MEADOWS RD STE 200,LAKE OSWEGO,97035-4288
Child Care Center,DCCC.12039,TLC LEARNING CENTER AND DAY CARE,167 BUCKINGHAM ST,OAKVILLE,06779-1728,860-274-5249,tlclearningcenteranddaycareinc@gmail.com,6 weeks-12 years,45,16,9/30/26,TLC LEARNING CENTER AND DAY CARE INC,167 BUCKINGHAM STREET,OAKVILLE,06779
Child Care Center,DCCC.12048,BRIGHT BEGINNINGS OF NORWICH,714 NEW LONDON TPKE,NORWICH,06360-7022,860-886-2064,brightbeginningschildcare@rocketmail.com,6 weeks-10 years,40,23,8/31/26,KAPPY KARE INC,14 TRADING COVE DRIVE,NORWICH,06360
Child Care Center,DCCC.12064,TRUMBULL LOVES CHILDREN-BOOTH HILL,545 BOOTH HILL ROAD,TRUMBULL,06611,203-666-9253,cgordon@tlctrumbull.com,5 years-12 years,80,0,3/31/26,TRUMBULL LOVES CHILDREN INC,720 DANIELS FARM ROAD,TRUMBULL,06611-6338
Child Care Center,DCCC.12084,CONCORDIA NURSERY SCHOOL,40 PITKIN ST,MANCHESTER,06040-4408,860-649-9349,concordianurseryschool@gmail.com,3 years-5 years,35,0,11/30/26,CONCORDIA LUTHERAN CHURCH,40 PITKIN STREET,MANCHESTER,06040
Child Care Center,DCCC.12089,HADDAM COOP NURSERY SCHOOL,905 SAYBROOK RD,HADDAM,06438-1135,860-345-3983,president@haddamco-op.org,3 years-5 years,20,0,12/31/28,HADDAM COOP NURSERY SCHOOL INC,PO BOX 206,HADDAM,06438
