2/5/25,,,,,,,,,
County,Auth #,Organization Name,Center Name,Address,Address 2,City,Zip,Phone,Extension
ALACHUA,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC",A HIDDEN CHILD'S WORLD,3237 SW  41ST PLACE,,GAINESVILLE,32608,3523786343,
ALACHUA,2592,A WORLD OF ANGELS OF  GAINESVILLE INC,A WORLD OF ANGELS OF GAINESVILLE,1119 N.W. 42ND AVENUE,,GAINESVILLE,32609,3523810080,
ALACHUA,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC",ABACUS LEARNING CENTER,5205 SW 91ST DR,,GAINESVILLE,32608,8137894015,
ALACHUA,3383,ANGELS CHRISTIAN ACADEMY,ANGEL'S CHRISTIAN ACADEMY,1805 SE HAWTHORNE RD,,GAINESVILLE,326417434,3523748521,
ALACHUA,3460,ANGELIC BLESSINGS ACADEMY,ANGELIC BLESSINGS ACADEMY,2022 SW 122ND ST BLDG B,,GAINESVILLE,326071030,3526638778,
ALACHUA,6309,ANGELS FAITH LEARNING CENTER LLC,ANGELS FAITH LEARNING CENTER LLC,2500 NE 15TH STREET,,GAINESVILLE,326095105,3527926300,
ALACHUA,6161,BUILDING DREAMS EARLY LEARNING CENTER L.L.C.,BUILDING DREAMS EARLY LEARNING CENTER L.L.C.,18467 NW US HWY 441 SUITE 10,,HIGH SPRINGS,326438795,3864540771,
ALACHUA,5600,CHILD CENTER FOR EARLY LEARNING,CHILD CENTER FOR EARLY LEARNING,820 SW 62ND TERRACE,,GAINESVILLE,326073612,3525191345,
ALACHUA,583,"EPISCOPAL CHILDREN'S SERVICES, INC.",ECS GAINESVILLE EARLY HEAD START/HEAD START,530 NE WALDO RD,,GAINESVILLE,32641,3526726979,
ALACHUA,583,"EPISCOPAL CHILDREN'S SERVICES, INC.",EPISCOPAL CHILDREN'S SERVICE HIGHLANDS HEAD START,1132 NE 16TH AVENUE,,GAINESVILLE,32601,3525545005,
ALACHUA,583,"EPISCOPAL CHILDREN'S SERVICES, INC.",EPISCOPAL CHILDREN'S SERVICES EASTSIDE HEAD START,1930 NE WALDO ROAD,,GAINESVILLE,32609,3522644023,
ALACHUA,583,"EPISCOPAL CHILDREN'S SERVICES, INC.",EPISCOPAL CHILDREN'S SERVICES HAWTHORNE HEAD START/EARLY HEAD START,5837 SE US HIGHWAY 301,,HAWTHORNE,32640,3524811908,
ALACHUA,583,"EPISCOPAL CHILDREN'S SERVICES, INC.","EPISCOPAL CHILDREN'S SERVICES, INC. EDEN PARK HEAD START",1340 NE 39TH AVENUE,,GAINESVILLE,32060,3525544063,
ALACHUA,6658,GAINESVILLE EMPOWERMENT ZONE FAMILY LEARNING CENTER,GAINESVILLE EMPOWERMENT ZONE FAMILY LEARNING CENTER,1250 NE 18TH AVE BLDG 11,,GAINESVILLE,326093893,3522253931,
ALACHUA,5785,GRANNY D'S LEARNING CENTER,GRANNY D'S LEARNING CENTER,901 SE 1ST AVE,,GAINESVILLE,326016918,3528725852,
ALACHUA,6261,HAGIOS EARLY LEARNING CENTER LLC,HAGIOS EARLY LEARNING CENTER LLC,1704 NE 9TH STREET,,GAINESVILLE,326093730,3522604477,
ALACHUA,1418,HEAVENLY KIDS ACADEMY,HEAVENLY KIDS ACADEMY,309 N.E. 39TH AVE.,,GAINESVILLE,326091722,3523728200,
ALACHUA,6370,I RISE PERFORMING KIDS ACADEMY,I RISE PERFORMING KIDS ACADEMY,24621 DOC KARELAS DR,,NEWBERRY,326693219,3526602013,
ALACHUA,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC",KIDZ R KIDZ LEARNING ACADEMY INC,1735 SE HAWTHORNE RD,,GAINESVILLE,32641,3525545209,
ALACHUA,1348,LA PETITE ACADEMY,LA PETITE ACADEMY (ARCHER RD.),2755 S.W. ARCHER RD.,,GAINESVILLE,32608,3523710720,
ALACHUA,1387,LEE'S FUN TO LEARN DAYCARE & TUTORING INC,"LEE'S FUN TO LEARN DAYCARE & TUTORING, INC.",18129  DOUGLASS ST,,HIGH SPRINGS,326434281,3864545568,
ALACHUA,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC",LIL SCHOLARS LEARNING ACADEMY INC,3520 N.W. 13TH ST.,,GAINESVILLE,32609,3525195552,
ALACHUA,1363,LITTLE ANGELS CHILD CARE & LEARNING CTR.,LITTLE ANGELS CHILD CARE & LEARNING CENTER,14821 NW US HWY. 441,,ALACHUA,326158203,3864182211,
ALACHUA,163,MARTIN-ROCHELLE LEARNING CENTER INC,MARTIN-ROCHELLE LEARNING CENTER INC,13645 SW STATE RD 45,,ARCHER,326184087,3524959346,
ALACHUA,4879,NANNY'S LOVING ARMS EARLY LEARNING ACADEMY,NANNY'S LOVING ARMS EARLY LEARNING ACADEMY,5000 NW 34TH BLVD SUITE 17,,GAINESVILLE,326051187,3527457217,
ALACHUA,6565,O2B KIDS COLLEGE 2,O2B KIDS COLLEGE 2,4929 SW 43RD ST,,GAINESVILLE,326064460,3523714202,
ALACHUA,4595,O2B KIDS COLLEGE 3 LTD,O2B KIDS COLLEGE 3 LTD,3989 SW 37TH BLVD,,GAINESVILLE,326088454,3523788838,
ALACHUA,4596,O2B KIDS COLLEGE 4,O2B KIDS COLLEGE 4,1555 NW 23RD  AVE,,GAINESVILLE,326053018,3523742202,
ALACHUA,4597,O2B KIDS COLLEGE 6 LTD,O2B KIDS COLLEGE 6 LTD,14400 NW 152ND LANE,,ALACHUA,326158606,3864620092,
ALACHUA,6346,O2B KIDS NEWBERRY PARK,O2B KIDS NEWBERRY PARK,12186 NW 7TH PLACE,,GAINESVILLE,326074803,3526645437,
ALACHUA,4593,OH TO BE KIDS,OH TO BE KIDS,7383 SW 17TH ROAD,,GAINESVILLE,326070000,3523325500,
ALACHUA,907,ORANGE BLOSSOM PREP,ORANGE BLOSSOM PREP,6200 S.W. ARCHER RD.,,GAINESVILLE,32608,3523758900,
ALACHUA,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC",RISING STAR EDUCATIONAL ACADEMY INC #1,1938 NE WALDO RD,,GAINESVILLE,32609,3523843900,
ALACHUA,21,SANTA FE COLLEGE LITTLE SCHOOL,SANTA FE COLLEGE LITTLE SCHOOL,3000 N.W. 83 ST.,,GAINESVILLE,326066210,3523955599,
ALACHUA,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC","SMALL STEPS INSTITUTE, LLC",5930 SW ARCHER RD.,SUITE 700,GAINESVILLE,32608,3526822474,
ALACHUA,1594,SMALL WORLD DAYCARE & LEARNING CENTER,SMALL WORLD DAYCARE & LEARNING CENTER,1214 NW 4TH STREET,,GAINESVILLE,326014228,3523760917,
ALACHUA,4249,THE KIDZ HOUSE,THE KIDZ HOUSE,4232 NW 6TH ST.,,GAINESVILLE,326064148,3528728621,
ALACHUA,5166,THE OAK TREE CHRISTIAN ACADEMY (NORTH),THE OAK TREE CHRISTIAN ACADEMY (NORTH),1414 NE 23 AVE,,GAINESVILLE,326093869,3523719936,
ALACHUA,4535,THE OAK TREE CHRISTIAN ACADEMY (SOUTH),THE OAK TREE CHRISTIAN ACADEMY (SOUTH),1023 SE 4TH AVE,,GAINESVILLE,326016908,3523363200,
ALACHUA,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC",YES I CAN KIDS ACADEMY INC,1734 SE HAWTHORNE RD,,GAINESVILLE,32641,3523715554,
BAKER,2815,ABC CHILDCARE AND LEARNING CENTER LLC,"ABC CHILDCARE & LEARNING CENTER, LLC.",627 S. 5TH ST.,,MACCLENNY,320632603,9042593455,
BAKER,583,"EPISCOPAL CHILDREN'S SERVICES, INC.",ECS BAKER HEAD START AND EARLY HEAD START,402 S 8TH STREET,,MACCLENNY,32063,9042591177,
