License Number,Facility Name,Street Address,City,Parish,Facility Phone Number,License Capacity,License Type,License Status,Age Range,Operation Days,Director,Director Designee
22,Webster Parish Jack & Jill Head Start/ Early Head Start,105 Murria Street,Cullen,WEBSTER,3189942313,96,Type III ,Open,18 M To 5 Y,Monday From: 08:00 To: 14:30 / Tuesday From: 08:00 To: 14:30 / Wednesday From: 08:00 To: 14:30 / Thursday From: 08:00 To: 14:30 / Friday From: 08:00 To: 14:30,Phyllis Williams,
31,Little Red Schoolhouse of Covington,304 E 32nd Ave,Covington,ST. TAMMANY,9858928784,302,Type III ,Open,6 W To 11 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Pamela Miley,Doretha Clark
50,GUMP Gretna United Methodist Preschool,1309 Whitney Ave,Gretna,JEFFERSON,5043675841,123,Type I ,Open,12 M To 10 Y,Monday From: 07:30 To: 16:00 / Tuesday From: 07:30 To: 16:00 / Wednesday From: 07:30 To: 16:00 / Thursday From: 07:30 To: 16:00 / Friday From: 07:30 To: 16:00,Kandie Hinyub,
57,First Baptist Church Day School,901 Main Street,Pineville,RAPIDES,3184455888,98,Type I ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Rebecca Cook; Adrienne Hetherwick,
60,St. Timothy Preschool,335 Asbury Dr,Mandeville,ST. TAMMANY,9856265580,195,Type I ,Open,1 Y To 5 Y,Monday From: 09:00 To: 15:00 / Tuesday From: 09:00 To: 13:00 / Wednesday From: 09:00 To: 15:00 / Thursday From: 09:00 To: 13:00 / Friday From: 09:00 To: 13:00,,Jenny Boisseau
62,First Friends Christian Learning Center,201 John Wesley Blvd,Bossier City,BOSSIER,3187521498,100,Type I ,Open,2 M To 5 Y,Monday From: 09:00 To: 14:00 / Tuesday From: 09:00 To: 14:00 / Wednesday From: 09:00 To: 14:00 / Thursday From: 09:00 To: 14:00 / Friday From: 09:00 To: 14:00,Shannon Kelley,
65,"Cathy's Daycare Center, Inc.",1601 E Admiral Doyle Dr,New Iberia,IBERIA,3373640692,154,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Catherine Joseph,Peggy Broussard-Huval
74,Shiloh Baptist Church Early Learning Academy,185 Eddie Robinson SR Dr,Baton Rouge,EAST BATON ROUGE,2253434734,446,Type III ,Open,6 W To 7 Y,Monday From: 07:30 To: 17:00 / Tuesday From: 07:30 To: 17:00 / Wednesday From: 07:30 To: 17:00 / Thursday From: 07:30 To: 17:00 / Friday From: 07:30 To: 17:00,Teresita Pope,
82,FUMC The Little School,106 Pecan St,Thibodaux,LAFOURCHE,9854462630,112,Type I ,Open,1 Y To 4 Y,Monday From: 07:45 To: 15:30 / Tuesday From: 07:45 To: 15:30 / Wednesday From: 07:45 To: 15:30 / Thursday From: 07:45 To: 15:30 / Friday From: 07:45 To: 15:30,Karen Ledet,Michelle Eschette
116,"The Prep Center, Inc.",1906 Cooper Lake Rd,Bastrop,MOREHOUSE,3182818819,147,Type III ,Open,13 M To 14 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Lois Jordan,
130,Babineaux's Kiddie Kare,211A Alfred St,Lafayette,LAFAYETTE,3372335072,78,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Albert  Babineaux,Tanner Babineaux
162,The Early Learning Center,930 North Blvd,Baton Rouge,EAST BATON ROUGE,2253874229,223,Type III ,Open,6 W To 12 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Raven Van Gossen,Lisa Lands; Tammy LeSage; Joanetta  Smith
167,Regina Coeli Child Development Center-Hammond Head Start & Early Head Start,1500 Phoenix Square,Hammond,TANGIPAHOA,9855420057,225,Type III ,Open,6 W To 6 Y,Monday From: 07:00 To: 15:30 / Tuesday From: 07:00 To: 15:30 / Wednesday From: 07:00 To: 15:30 / Thursday From: 07:00 To: 15:30 / Friday From: 07:00 To: 15:30,Shanna Guest; Lakeisha Robertson; Tameka Brumfield,Chris Gibson; Lisa Conner
176,"Sarah's Daycare Center, Inc",218 N Domingue Ave,Lafayette,LAFAYETTE,3379880137,99,Type I ,Open,18 M To 6 Y,Monday From: 07:00 To: 17:45 / Tuesday From: 07:00 To: 17:45 / Wednesday From: 07:00 To: 17:45 / Thursday From: 07:00 To: 17:45 / Friday From: 07:00 To: 17:45,Joseph Aycock,Sillia Nicholas
214,First United Methodist Preschool,2727 Jackson St,Alexandria,RAPIDES,3184849377,163,Type I ,Open,6 W To 6 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Catherine Lytle,
215,First United Methodist Preschool,2200 Rue Denise,Hammond,TANGIPAHOA,9855426689,86,Type I ,Open,6 M To 5 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Shannon Tribble,
219,University Methodist Preschool,3350 Dalrymple Dr,Baton Rouge,EAST BATON ROUGE,2253440345,322,Type III ,Open,3 M To 12 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Toi Davis,Natosha  Breaux; JoAnn  Gosa ; Penny  LeSage
222,St. John's Day Care Center dba St. John's Little Lambs,600 University Dr,Lake Charles,CALCASIEU,3374782659,100,Type III ,Open,6 W To 6 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Rebecca Yelverton,
224,Broadmoor United Methodist Preschool (Children Learning Center),10230 Mollylea Dr,Baton Rouge,EAST BATON ROUGE,2259265243,300,Type I ,Open,12 W To 13 Y,Monday From: 07:00 To: 17:45 / Tuesday From: 07:00 To: 17:45 / Wednesday From: 07:00 To: 17:45 / Thursday From: 07:00 To: 17:45 / Friday From: 07:00 To: 17:45,Cheri Coats,
230,KinderCare,4630 Nelson Rd,Lake Charles,CALCASIEU,3374788086,90,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Jessica Billiot,Velvet Broussard; Blanca McCasland
233,"Lots-O-Tots Day Care Center, Inc",174 Saint Joseph St,Thibodaux,LAFOURCHE,9854471861,62,Type II ,Open,20 M To 16 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Rebecca Toups,Bambi  Stivers; Angela Landry; Jean Landry
242,First Baptist Church Daycare,201 E Court St,Winnfield,WINN,3186286996,98,Type I ,Open,12 M To 12 Y,Monday From: 07:15 To: 17:15 / Tuesday From: 07:15 To: 17:15 / Wednesday From: 07:15 To: 17:15 / Thursday From: 07:15 To: 17:15 / Friday From: 07:15 To: 17:15,Tina Williams,
250,Little Oaks Learning Center,1805 Eraste Landry Rd,Lafayette,LAFAYETTE,3379884910,105,Type III ,Open,1 Y To 12 Y,Monday From: 07:00 To: 17:45 / Tuesday From: 07:00 To: 17:45 / Wednesday From: 07:00 To: 17:45 / Thursday From: 07:00 To: 17:45 / Friday From: 07:00 To: 17:45,Vicki Courville,Amkara West
254,Kinder Haus Montessori,5201 W Napoleon Ave,Metairie,JEFFERSON,5044542424,69,Type I ,Open,1 Y To 6 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Jo  Moncrief,
261,First Baptist Church Child Care Center,406 W Main St,Homer,CLAIBORNE,3189276752,62,Type III ,Open,6 W To 10 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Crystal Ford,
266,Caddo Community Action Agency-David Raines Head Start,1625 David Raines Rd,Shreveport,CADDO,3182279940,60,Type III ,Open,3 Y To 5 Y,Monday From: 07:30 To: 16:00 / Tuesday From: 07:30 To: 16:00 / Wednesday From: 07:30 To: 16:00 / Thursday From: 07:30 To: 16:00 / Friday From: 07:30 To: 16:00,Carrie Horton,
272,Saint Rest Early Learning Center,611 E Union St,Minden,WEBSTER,3183711547,50,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Rose Oliver,
281,Metairie Ridge Presbyterian Daycare,215 Phosphor Ave,Metairie,JEFFERSON,5048312887,86,Type I ,Open,6 W To 3 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Rachel Legrand,
283,Don Avenue Baptist Daycare,1010 Don Ave,Denham Springs,LIVINGSTON,2253692324,132,Type I ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Jessica Hullinghorst,Lisa Mizell
309,First Baptist Child Development Center,4141 Pontchartrain Dr,Slidell,ST. TAMMANY,9856432275,142,Type I ,Open,1 Y To 7 Y,Monday From: 07:30 To: 15:30 / Tuesday From: 07:30 To: 15:30 / Wednesday From: 07:30 To: 15:30 / Thursday From: 07:30 To: 15:30 / Friday From: 07:30 To: 15:30,Delores Tousinau,
313,Regina Coeli Child Development Center- Franklinton Head Start & Early Head Start,531 Hilltop Ave,Franklinton,WASHINGTON,9858395422,198,Type III ,Open,6 W To 6 Y,Monday From: 07:00 To: 15:00 / Tuesday From: 07:00 To: 15:00 / Wednesday From: 07:00 To: 15:00 / Thursday From: 07:00 To: 15:00 / Friday From: 07:00 To: 15:00,Brigette  Jones,Sharon Brumfield
337,Southland Park Learning Center,1001 Southland Park Dr,Shreveport,CADDO,3186868181,331,Type III ,Open,6 W To 14 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Mary Wilcher; Cannola Anderson,Jeremy Ivey
350,Abita Springs Children's Academie,22400 Level St,Abita Springs,ST. TAMMANY,9858932122,40,Type I ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Peggy Young,Amanda Young
367,First Baptist Church Weekday Early Education,301 Pennsylvania Ave,Minden,WEBSTER,3183774495,126,Type I ,Open,6 W To 10 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Kim James,
393,KinderCare Learning Center,4435 Floynell Dr,Baton Rouge,EAST BATON ROUGE,2252936599,100,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Catrina Brazier-Toy,Jessica Vallere
406,University Presbyterian Church Day School,3240 Dalrymple Dr,Baton Rouge,EAST BATON ROUGE,2253448077,95,Type III ,Open,3 M To 4 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Ethel Felder,
