Provider Name,Permit Type,Permit Number,Operator,Facility Type,Street,City,State,Zip,County,Phone,ABC Level,Last ABC Inspection Date,Capacity,Head Start,First Steps,Breastfeeding Friendly,Sleep Safe
Ala Enrichment Center,Not Licensed (Exempt),,Mary Frances Koon,Exempt,16A Saddlemount Ln,Hopkins,SC,29061,Richland,(803) 429-1256,A+,08/20/2024,0,False,False,False,False
Arthurtown Child Development Center,License,17356,Melissia Elizabeth Miller,Child Care Center,223 Riley Street,Columbia,SC,29201,Richland,(803)-254-9400,A+,09/19/2024,94,False,False,False,True
Avery Lake Head Start,Approval,751,Anitra Monique Worthy,Child Care Center,100 Lestina Court,FORT MILL,SC,29715,York,(803)-802-7587,A+,08/23/2022,76,True,False,False,False
Bishopville Head Start,Approval,720,Debbie White-James,Child Care Center,603 Hwy 15 N,BISHOPVILLE,SC,29010,Lee,(803)-484-5403,A+,05/16/2024,131,True,False,False,False
Blenheim Head Start,Approval,453,Tracy Joseph,Child Care Center,2809 Polston Farm Road,BLENHEIM,SC,29516,Marlboro,(843)-528-3465,A+,04/18/2024,182,True,False,False,False
Bright Horizons at Columbia Federal Child Development Center,License,22227,Latifah Long,Child Care Center,1835 Assembly Street Room 113,COLUMBIA,SC,29201,Richland,(803)-766-1742,A+,06/26/2024,135,False,False,False,False
Chapin Baptist Child Development Center,License,12861,Melanie Butler,Child Care Center,950 Old Lexington Highway,CHAPIN,SC,29036,Lexington,(803)-345-1156,A+,04/19/2024,376,False,True,True,False
"Cheraw Head Start ",Approval,716,Cornelia Ann Smith,Child Care Center,1345A  Dizzy Gillespie Drive,CHERAW,SC,29520,Chesterfield,(843)-537-5248,A+,08/28/2024,193,True,False,False,False
Child Development Learning Center - SC State University,Approval,366,Stephanie Felks,Child Care Center,113 Lance Circle,ORANGEBURG,SC,29117,Orangeburg,(803)-536-7150,A+,01/10/2024,60,False,True,False,False
Children's Garden,License,25936,Anita Robinson,Child Care Center,1135 Blue Ridge Terrace,COLUMBIA,SC,29203,Richland,(803)-333-0608,A+,09/12/2024,111,False,False,False,True
Children's Place Child Care Center,License,18308,Lennis Grant,Child Care Center,314 South Palm St.,Varnville,SC,29944,Hampton,(803)-943-3501,A+,10/03/2019,42,False,False,False,False
Christ Lutheran Preschool,License,14625,Nancy Elizabeth Conder,Child Care Center,829 William Hilton Parkway,Hilton Head Island,SC,29928,Beaufort,(843)-785-6570,A+,12/16/2021,60,False,False,False,False
Clemson Child Development Center,License,18662,Mary Cooper Wesley,Child Care Center,216 Butler Street,CLEMSON,SC,29631,Pickens,(864)-654-3345,A+,06/05/2019,120,False,True,False,False
Clemson Head Start,Approval,721,Courtney Nicole Couch,Child Care Center,644 Old Greenville Hwy,CLEMSON,SC,29631,Pickens,(864)-654-0790,A+,09/21/2022,40,True,False,False,False
Creative Learning Kids CDC,License,24303,Felicia Spurgeon-Norris,Child Care Center,140 Southport Rd.,SPARTANBURG,SC,29306,Spartanburg,(864)-587-8900,A+,08/30/2022,62,False,True,True,False
Cutler Jewish Day School,License,17454,"Pesha Spalter, Karen Spruill",Child Care Center,5827 Trenholm Road,COLUMBIA,SC,29206,Richland,(803)-782-1831,A+,04/17/2024,275,False,False,True,False
Daniel Island Academy,License,17851,Kerry Lynn Nowosielski,Child Care Center,300 Seven Farms Drive,Charleston,SC,29492,Berkeley,(843)-971-5961,A+,07/25/2022,412,False,False,False,False
Easley Bridge Road Head Start,Approval,526,Natalie Johnson,Child Care Center,404 Easley Bridge Road,GREENVILLE,SC,29611,Greenville,(864)-295-3392,A+,04/30/2024,207,True,False,False,False
ECMHSP - Manning Educational Campus,Approval,458,Paula Walker,Child Care Center,621 West Huggins Street,MANNING,SC,29102,Clarendon,(803)-435-8427,A+,08/29/2024,88,True,False,False,False
ECMHSP- Lodge Educational Campus,Approval,22004,Alison Nicole McCullough,Child Care Center,14405 Bells Highway,LODGE,SC,29082,Colleton,(843)-866-2051,A+,10/21/2024,93,True,False,False,False
Edgemoor Head Start,Approval,24057,Gail Keenon,Child Care Center,1966 Westbrook Road,Edgemoor,SC,29712,Chester,(803)-789-3601,A+,09/07/2022,132,True,False,False,False
Epworth Early Intervention,Not Licensed (Exempt),,Rosemary Faile,Exempt,2900 Millwood Ave,Columbia,SC,29205,Richland,(803) 681-0212,A+,05/23/2024,0,False,False,False,False
First Presbyterian Day School,License,14866,Jennifer Lynn Hummel,Child Care Center,540 William Hilton Parkway,HILTON HEAD ISLAND,SC,29928,Beaufort,(843)-681-3695,A+,04/09/2024,180,False,False,False,False
Florence Darlington Technical College Head Start/Early Head Start,Approval,24062,Deborah Allen,Child Care Center,"2715 West Lucas Street ",FLORENCE,SC,29502,Florence,(843)-676-8525,A+,09/09/2024,56,True,False,False,False
Fort Mill Preparatory Cooperative Preschool,License,17920,"Corinda Gibbs, Christine Boatwright, Terri Lynn Smith Honea",Child Care Center,2721 Old Nation Road,FORT MILL,SC,29715,York,(803)-548-8123,A+,08/23/2022,130,False,True,False,False
Georgetown Head Start,Approval,955,Cynthia D Washington,Child Care Center,410 South Kaminski St. Building C,GEORGETOWN,SC,29440,Georgetown,(843)-545-1272,A+,10/09/2024,99,True,False,False,False
Green Sea Head Start,Approval,594,Chantel McNeil,Child Care Center,1131 Green Sea Road North,Green Sea,SC,29545,Horry,(843)-756-4770,A+,02/08/2024,180,True,False,False,False
Greenville Memorial Childcare Center,License,22889,"Tamara Johnson, Cynthia Turi",Child Care Center,872 West Faris Rd.,GREENVILLE,SC,29605,Greenville,(864)-455-2505,A+,06/28/2022,188,False,False,False,False
Greenwood Headstart Learning Center,Approval,805,TACITA CARTER,Child Care Center,1401 By-Pass 25  S.E.,GREENWOOD,SC,29646,Greenwood,(864)-223-9748,A+,03/18/2023,364,True,False,False,False
Hamer Canaan Head Start,Approval,317,Sharon Temoney Davis,Child Care Center,428 Elkins Road,HAMER,SC,29547,Dillon,(843)-774-7650,A+,01/18/2024,181,True,False,False,False
ISWA Development Corporation Early Learning,Approval,18025,Crystal Nicholas,Child Care Center,1540 Tom Steven Road,ROCK HILL,SC,29730,York,(803)-328-2267,A+,09/20/2022,273,True,False,False,False
Johnsonville Head Start,Approval,792,Charletta Clinton,Child Care Center,158 East Marion Street,JOHNSONVILLE,SC,29555,Florence,(843)-380-8408,A+,08/26/2024,39,True,False,False,False
Jonesville Head Start,Approval,22231,Aubrey William Brown,Child Care Center,514 Alman Street,JONESVILLE,SC,29353,Union,(864)-674-6014,A+,08/31/2022,264,True,False,False,False
Kelly's Kids SCSD&B,Approval,21132,Kristin Kisker Milner,Child Care Center,355 Cedar Springs RD,Spartanburg,SC,29302,Spartanburg,(864)-577-7823,A+,08/30/2022,38,False,False,False,False
Kershaw County Headstart,Approval,22607,Carrie Prioleau,Child Care Center,1109 Campbell Street,CAMDEN,SC,29020,Kershaw,(803)-432-2823,A+,05/09/2024,160,True,False,False,False
Lake City Head Start,Approval,393,Darlene Brown Graham,Child Care Center,209 Graham Road,LAKE CITY,SC,29560,Florence,(843)-394-5466,A+,03/20/2024,179,True,False,False,False
Leroy H. Gilliard Head Start,Approval,21682,Elmesha McQuire,Child Care Center,1410 Tailbird Road,Beaufort,SC,29902,Beaufort,(843)-524-5100,A+,09/28/2022,94,False,False,False,False
Lexington Head Start Center,Approval,412,Yolanda Boozer,Child Care Center,134 Gibson Ct,LEXINGTON,SC,29072,Lexington,(803)-951-3215,A+,08/21/2024,67,True,False,False,False
Little Smurfs Daycare,License,13577,"Bequethia W Pressley, Pamela Wall",Child Care Center,903 Martin Luther King Drive,ANDREWS,SC,29510,Georgetown,(843)-264-3262,A+,04/18/2024,96,False,True,False,False
Living Springs Lutheran Church Child Development Center,License,17548,Tammy Mancuso,Child Care Center,4224 Hardscrabble Road,COLUMBIA,SC,29223,Richland,(803)-736-0776,A+,06/10/2022,242,False,False,False,False
Longs Head Start Center,Approval,162,Briana Knapp,Child Care Center,131 Freemont Road,Longs,SC,29568,Horry,(843)-399-3220,A+,02/07/2024,188,True,False,False,False
Love N Cherish Academy,License,23821,Karen M Jaggers,Child Care Center,2199 Mt. Holly Road,ROCK HILL,SC,29730,York,(803)-327-3761,A+,04/19/2022,64,False,False,False,False
MacFeat Early Childhood Lab School,Approval,358,Melanie Lynn Sanders,Child Care Center,"41 Withers/W.T.S. Bldg., Winthrop Univ.",ROCK HILL,SC,29730,York,(803)-323-2219,A+,09/08/2022,61,False,False,False,False
Mack T. Hines Early Head Start Center,Approval,22643,Katrina Cooper Graham,Child Care Center,410 Jarrott Street,FLORENCE,SC,29501,Florence,(843)-292-8001,A+,05/06/2022,44,False,False,False,False
McBee Head Start Center,Approval,505,Carolyn Latunda Williams,Child Care Center,168 Union Church Road,MC BEE,SC,29101,Chesterfield,(843)-335-6506,A+,03/25/2022,20,True,False,False,False
McColl Head Start,Approval,601,Elandis Stuckey,Child Care Center,311 S Church Street,MC COLL,SC,29570,Marlboro,(843)-523-5041,A+,10/14/2024,71,True,False,False,False
McCormick Elementary School,Approval,21453,Salisa Lynette Mincey-McTeer,Child Care Center,6977 Hwy. 28 South,MC CORMICK,SC,29835,Mccormick,(864)-852-6005,A+,03/16/2023,41,False,False,False,False
McLeod Child Development Center,License,13387,"Kimrey Ann Haughn, Lisa Tention",Child Care Center,202 East Evans Street,FLORENCE,SC,29506,Florence,(843)-777-7221,A+,07/26/2024,150,False,False,True,False
McMillan Head Start,Approval,415,Carol Alford,Child Care Center,407 McMillan Street,MARION,SC,29571,Marion,(843)-423-9550,A+,10/30/2023,51,True,False,False,False
MEGA Child Development Center,License,24284,Janice Ironside,Child Care Center,3630 Augusta Hwy,GILBERT,SC,29054,Lexington,(803)-892-6342,A+,03/16/2022,165,False,True,False,False
Meyer Center for Special Children,License,16708,"Meta Bowers Hendricks, Corey Truesdale Getson",Child Care Center,1132 Rutherford Road Stone Plaza,GREENVILLE,SC,29609,Greenville,(864)-250-0005,A+,06/17/2022,292,False,False,False,False
"Mildred G. Burno Head Start ",Approval,881,Edna Louise Pettigrew,Child Care Center,223 Law Plantation Road,DARLINGTON,SC,29540,Darlington,(843)-395-8036,A+,09/30/2024,193,True,False,False,False
Miss Tammy's Little Learning Center,License,15756,Bailey Wilson Coggins,Child Care Center,815 E. Brookwood Drive,Landrum,SC,29356,Spartanburg,(864)-457-3737,A+,06/14/2022,108,False,False,True,False
Newberry Child Development Center,License,17838,Lee Ann Smith,Child Care Center,2300 Evans Street,NEWBERRY,SC,29108,Newberry,(803)-276-3045,A+,09/22/2022,179,False,False,False,False
North Chester Head Start,Approval,35,Sandra Davie,Child Care Center,2135 Quinn Road,Chester,SC,29706,Chester,(803)-581-6854,A+,08/25/2022,201,True,False,False,False
OCAB Early Head Start Denmark Center,Approval,23316,Danielle James,Child Care Center,90 Faculty Grove Lane,DENMARK,SC,29042,Bamberg,(803)-793-6057,A+,02/11/2020,85,True,False,False,False
Pageland Head Start,Approval,24064,Marietta Melton-Burch,Child Care Center,405 Gum Street,PAGELAND,SC,29728,Chesterfield,(843)-672-5360,A+,09/26/2024,68,True,False,False,False
Parker Head Start Center,Approval,24065,Angela Turner,Child Care Center,15 Clark Street,GREENVILLE,SC,29617,Greenville,(864)-294-6217,A+,08/25/2022,166,True,False,False,False
Pickens Head Start,Approval,21525,Sharon Corn,Child Care Center,1813 Gentry Memorial Hwy.,Easley,SC,29640,Pickens,(864)-878-1494,A+,03/06/2019,90,True,False,False,False
Piedmont Community Actions ELC,Approval,24881,Sharon Delois Baggett,Child Care Center,230 Bryant Road,SPARTANBURG,SC,29303,Spartanburg,(864)-342-4730,A+,05/20/2022,321,True,True,False,False
Pineview Learning Center,Approval,24076,Cynthia Middleton,Child Care Center,1916 Pineview Road,COLUMBIA,SC,29209,Richland,(803)-695-1311,A+,02/05/2024,193,True,False,False,False
Platt Springs Learning Center Head Start,Approval,559,Daphne Suber,Child Care Center,1309 Platt Springs Road,WEST COLUMBIA,SC,29169,Lexington,(803)-794-9707,A+,08/19/2024,142,True,False,False,False
Progressive Family Life Center,License,16934,Sandra Isaac,Child Care Center,284 Progressive Way,DENMARK,SC,29042,Bamberg,(803)-793-5628,A+,01/28/2020,138,False,True,False,False
Richland County First Steps @ Ridgewood MBC,Approval,24104,Lakeema Maybank,Child Care Center,5324 Ridgeway Street,COLUMBIA,SC,29203,Richland,(803)-754-1566,A+,07/17/2024,47,False,False,False,False
Rikard Learning Center /Head Start,Approval,24061,Lynn Williams,Child Care Center,215 Rikard School Road,PROSPERITY,SC,29127,Newberry,(803)-364-0406,A+,02/05/2024,240,True,False,False,False
Rock Hill Head Start,Approval,24365,Patricia Samuel,Child Care Center,929 Sylvia Circle,ROCK HILL,SC,29730,York,(803)-985-3141,A+,09/08/2022,445,True,False,False,False
Rubye J. Johnson Head Start,Approval,719,Patricia Holiday,Child Care Center,1155 North Lafayette Blvd,SUMTER,SC,29150,Sumter,(803)-773-1291,A+,10/09/2024,389,True,False,False,False
Rutherford Road Head Start,Approval,595,Porsha Houston,Child Care Center,1229 Rutherford Road,GREENVILLE,SC,29609,Greenville,(864)-298-0196,A+,04/28/2022,138,True,False,False,False
SRMC Ida Thompson Child Development Program,License,15531,"Sonya Renee Oller, Angela Hammett",Child Care Center,1001 N Pine Street,SPARTANBURG,SC,29303,Spartanburg,(864)-560-4142,A+,08/31/2022,321,False,False,True,False
St. Andrews Head Start,Approval,460,Legolia Lee-Elliott,Child Care Center,1400 St Andrews Road,Columbia,SC,29210,Richland,(803)-750-0053,A+,01/31/2024,160,False,False,False,False
